Lisa,Ramirez,lramirez1@yahoo.com,2817148436,68837 Harbort Alley,Austin,43,77494,1,May want a party in the future,1
Brenda,Gardner,bgardner2@cam.ac.uk,8327759563,40 1st Trail,Sugarland,43,77044,1,,1
Sharon,Morris,smorris3@hotmail.com,7138361388,561 Comanche Lane,Galveston,43,78667,1,Returning Customer,1
Ernest,Walker,ewalker4@ifeng.com,8324224343,567 Namekagon Park,Galveston,43,75115,1,,1
Adam,Butler,abutler5@engadget.com,2816019926,32661 Forster Pass,Austin,43,75001,1,,1
Jesse,Williams,jwilliams6@hud.gov,7137027791,5 Logan Place,Katy,43,75001,1,,1
Annie,Hawkins,ahawkins7@wisc.edu,2813241693,52 Merry Alley,Atascocita,43,75001,1,,1
Ashley,Elliott,aelliott8@google.it,8328174717,0 Homewood Center,Spring,43,77494,1,May want a party in the future,1
Todd,Perry,tperry9@arizona.edu,8327001611,705 Meadow Ridge Hill,Sugarland,43,75115,1,,1
Kenneth,Graham,kgrahama@arizona.edu,7133477450,554 Texas Hill,Sugarland,43,77301,1,,1
Robin,Lane,rlaneb@telegraph.co.uk,7139535469,2840 Amoth Street,Sugarland,43,77494,1,Returning Customer,1
Sandra,Wheeler,swheelerc@alibaba.com,7138504712,2 Independence Lane,Humble,43,79493,1,,1
Christine,Wright,cwrightd@twitpic.com,2812145281,84243 John Wall Alley,Sugarland,43,78675,1,,1
Ruby,Simmons,rsimmonse@gmail.com,2815883147,65111 Judy Avenue,Atascocita,43,79493,1,,1
Douglas,Anderson,dandersonf@hotmail.com,2816560030,9 Kim Center,Humble,43,75119,1,,1
Andrea,Stone,astoneg@fc2.com,7134265085,6738 Saint Paul Hill,Austin,43,75086,1,,1
Debra,James,djamesh@yale.edu,8321229506,28515 Tony Parkway,San Antonio,43,75001,1,Returning Customer,1
Margaret,Baker,mbakeri@trellian.com,8329680647,3 2nd Street,Galveston,43,77004,1,,1
George,Fisher,gfisherj@fema.gov,8327547270,6 Lighthouse Bay Junction,Spring,43,75001,1,,1
Randy,Hunter,rhunterk@yahoo.com,2814687390,561 7th Pass,Spring,43,78667,1,,1
Keith,Stephens,kstephensl@virginia.edu,8327625833,654 Knutson Way,Humble,43,77494,1,,1
Jacqueline,Ferguson,jfergusonm@webs.com,8326577585,700 Cascade Place,Galveston,43,78675,1,,1
Eric,Ortiz,eortizn@go.com,8323986367,18224 Bluestem Crossing,Tomball,43,75001,1,,1
Debra,Ryan,dryano@twitter.com,8329384403,7 Portage Parkway,Katy,43,75086,1,May want a party in the future,1
Patricia,Elliott,pelliottp@google.com,8321984924,90994 Spaight Plaza,Austin,43,78675,1,,1
Lisa,Watkins,lwatkinsq@opensource.org,8326566907,98 Mccormick Terrace,Galveston,43,77004,1,,1
Walter,Ferguson,wfergusonr@altervista.org,8325874507,08 Artisan Parkway,Spring,43,75495,1,Returning Customer,1
Steven,Howard,showards@eventbrite.com,8322681223,49324 Huxley Circle,Tomball,43,77494,1,,1
David,Graham,dgrahamt@overblog.com,2815132977,4 Lien Way,Spring,43,77044,1,,1
Victor,Payne,vpayneu@unicef.org,7138947885,508 Stuart Plaza,Humble,43,79493,1,,1
Theresa,Cunningham,tcunninghamv@blog.com,8327205960,5391 Sycamore Road,Sugarland,43,77494,1,,1
Betty,Butler,bbutlerw@nbcnews.com,2811188618,1 Sommers Pass,Austin,43,77301,1,May want a party in the future,1
Bonnie,Reyes,breyesx@gmail.com,2811730046,214 Lindbergh Plaza,Galveston,43,79493,1,,1
Joyce,Stewart,jstewarty@g.co,2818956308,798 Tomscot Street,San Antonio,43,78675,1,,1
David,Welch,dwelchz@people.com.cn,2812276282,0 Spaight Terrace,Sugarland,43,77301,1,,1
Ryan,Castillo,rcastillo10@php.net,8328533959,90826 Kedzie Junction,Tomball,43,77301,1,Returning Customer,1
Donald,Cole,dcole11@quantcast.com,2815627976,30296 Autumn Leaf Park,Katy,43,75001,1,,1
Richard,Cook,rcook12@cam.ac.uk,2811731875,14 Arrowood Terrace,Atascocita,43,78667,1,,1
Anne,Watkins,awatkins13@jiathis.com,8327434762,7 Sunbrook Place,Pearland,43,77301,1,,1
Susan,Cunningham,scunningham14@alibaba.com,8327069438,15398 Spaight Court,Humble,43,75495,1,,1
Arthur,Perry,aperry15@paginegialle.it,8327510749,845 Harbort Road,San Antonio,43,73344,1,,1
Robert,Sullivan,rsullivan16@amazon.co.jp,2816786193,9 Oak Street,Spring,43,75086,1,Returning Customer,1
Katherine,Hamilton,khamilton17@gmail.com,8321841617,8888 Corben Drive,Spring,43,73344,1,,1
Lillian,Sanchez,lsanchez18@moonfruit.com,7139498505,64724 Buell Place,Austin,43,77044,1,,1
Shawn,Lane,slane19@umn.edu,2814782489,03 Fremont Crossing,Humble,43,73344,1,,1
Julia,Bell,jbell1a@tuttocitta.it,8327967938,79 Almo Road,Austin,43,75001,1,Returning Customer,1
Earl,Burke,eburke1b@ocn.ne.jp,7139904635,021 Johnson Park,Galveston,43,73344,1,,1
Benjamin,George,bgeorge1c@tiny.cc,7138609815,22 Service Lane,Spring,43,73344,1,,1
Arthur,Campbell,acampbell1d@jugem.jp,7139043962,15486 Lindbergh Terrace,Sugarland,43,77004,1,,1
Willie,Reid,wreid1e@flavors.me,8329121100,36745 Dahle Point,Galveston,43,78675,1,,1
Charles,Hart,chart1f@newyorker.com,8325997745,6 South Street,Pearland,43,77494,1,,1
Sandra,Martinez,smartinez1g@php.net,2812282748,1 Reindahl Point,Sugarland,43,77004,1,,1
Barbara,Carter,bcarter1h@skyrock.com,7131699028,041 Rigney Junction,Houston,43,75119,1,,1
Marie,Richards,mrichards1i@house.gov,2811824158,79 Mandrake Street,Galveston,43,75263,1,,1
Mark,Ward,mward1j@xrea.com,2812585064,068 Oneill Terrace,Houston,43,73344,1,,1
Roger,Kelley,rkelley1k@cisco.com,8325849687,9 Jenifer Center,Spring,43,78667,1,Returning Customer,1
Anna,Cox,acox1l@soundcloud.com,7134016706,5206 Russell Court,Friendswood,43,77044,1,,1
Clarence,Lewis,clewis1m@i2i.jp,8322566558,570 Doe Crossing Avenue,Friendswood,43,75119,1,,1
Judy,Willis,jwillis1n@flavors.me,8322144971,3 Carey Parkway,Austin,43,77301,1,,1
Bonnie,Garza,bgarza1o@hhs.gov,2811295123,671 Chinook Terrace,Katy,43,77301,1,,1
Brandon,Moore,bmoore1p@overblog.com,7139379636,619 Mcbride Court,Humble,43,75086,1,,1
Kathy,Nguyen,knguyen1q@livejournal.com,8329883870,4081 Gateway Court,Tomball,43,77494,1,,1
Nicholas,Bowman,nbowman1r@behance.net,2819356288,466 Shopko Park,Austin,43,78675,1,,1
Jerry,Kelly,jkelly1s@amazon.de,2812852988,51515 Eagan Way,Spring,43,75001,1,May want a party in the future,1
Jeffrey,Holmes,jholmes1t@google.es,8323231076,67283 Farragut Court,San Antonio,43,79493,1,,1
Brandon,Harper,bharper1u@devhub.com,2817170680,62 Jana Lane,Tomball,43,77044,1,,1
William,Brooks,wbrooks1v@1688.com,7139734657,5662 Fisk Park,Katy,43,78675,1,,1
Sean,Garza,sgarza1w@house.gov,8321625858,464 Westport Drive,Spring,43,75115,1,,1
Melissa,Bradley,mbradley1x@chron.com,8321803123,39 Heath Plaza,San Antonio,43,77494,1,,1
Christina,Wood,cwood1y@vk.com,8328940505,2 Weeping Birch Plaza,Galveston,43,79493,1,,1
Barbara,Robertson,brobertson1z@ft.com,7138108911,5 Gateway Lane,Austin,43,77044,1,,1
Judy,Ross,jross20@artisteer.com,2812980775,20158 Northview Alley,Katy,43,75115,1,,1
Harry,Weaver,hweaver21@newyorker.com,2814375085,9793 Southridge Center,Tomball,43,75495,1,,1
Aaron,Black,ablack22@nydailynews.com,7133614627,753 Loftsgordon Street,Humble,43,78675,1,,1
Carolyn,Rose,crose23@unc.edu,7133632476,6 Meadow Ridge Point,Katy,43,75001,1,,1
Ernest,Jones,ejones24@newsvine.com,2811556878,84 Cottonwood Terrace,Sugarland,43,77301,1,,1
Paul,Murray,pmurray25@buzzfeed.com,2819912338,087 Forest Run Drive,Pearland,43,75119,1,Returning Customer,1
Phillip,Webb,pwebb26@globo.com,7132648128,086 Namekagon Junction,Humble,43,75119,1,,1
Cheryl,Dixon,cdixon27@clickbank.net,7139288015,230 Lakeland Park,Humble,43,75001,1,,1
Jonathan,Anderson,janderson28@hexun.com,7136687974,846 Arkansas Avenue,Houston,43,77044,1,,1
Cheryl,Wells,cwells29@yahoo.com,7133826508,73 Lyons Center,Atascocita,43,77301,1,,1
Kathleen,Hernandez,khernandez2a@hotmail.com,2812925334,9564 Truax Road,Houston,43,75119,1,,1
Nicholas,Riley,nriley2b@ask.com,7135016277,7014 1st Parkway,Tomball,43,78667,1,,1
George,Sanchez,gsanchez2c@usa.gov,7131540044,281 3rd Terrace,Sugarland,43,75086,1,,1
Catherine,Hernandez,chernandez2d@cbslocal.com,8323358791,1 Elka Park,Humble,43,75086,1,May want a party in the future,1
Phillip,Lewis,plewis2e@php.net,2819897958,2089 Forster Circle,Galveston,43,75001,1,,1
Sandra,Henderson,shenderson2f@gmail.com,2815752735,805 Burning Wood Trail,Friendswood,43,78675,1,,1
Wanda,Kelley,wkelley2g@sogou.com,2818224133,469 Vahlen Trail,Spring,43,75115,1,,1
Dennis,Hart,dhart2h@ox.ac.uk,8326432529,4314 Farwell Pass,Katy,43,75495,1,,1
Alan,Kelly,akelly2i@nifty.com,2818134647,6 Northland Lane,Humble,43,77301,1,,1
Jane,Harris,jharris2j@go.com,8328930603,558 Holmberg Park,Houston,43,73344,1,Returning Customer,1
Antonio,Torres,atorres2k@state.gov,2814767380,70857 Sherman Place,Galveston,43,78667,1,,1
Emily,Mason,emason2l@gmail.com,7137268693,55373 Myrtle Plaza,Tomball,43,75086,1,,1
Alice,Pierce,apierce2m@hotmail.com,7131534748,2 Manufacturers Crossing,Tomball,43,77494,1,May want a party in the future,1
Victor,Wilson,vwilson2n@yahoo.com,8326415440,1759 Sheridan Street,Galveston,43,75263,1,Returning Customer,1
Edward,Rogers,erogers2o@gmail.com,8321323987,9 Paget Parkway,San Antonio,43,79493,1,,1
Christopher,Wood,cwood2p@gmail.com,7138191078,7652 David Road,Katy,43,78675,1,,1
